City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
392,Athabasca,CA,53.37,54.7169,-113.2854,Athabasca Lodge Motel
395,Buta,CD,71.87,2.7858,24.73,Hôtel BOPANDO
397,Dhidhdhoo,MV,80.98,6.8833,73.1,Dhidhoo beach
398,Yei,SS,69.19,4.095,30.6779,Twins Hotel Yei
399,Sioux Lookout,CA,62.8,50.1001,-91.917,Knobby's Fly-In Camps
400,Moron,AR,55.96,-34.6534,-58.6198,Hotel Morón
404,Novo Cruzeiro,BR,63.3,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
406,Severomuysk,RU,59.81,56.1481,113.4267,
407,Mandalgovi,MN,84.09,45.7625,106.2708,В.Ганбат
408,Namibe,AO,59.52,-15.1961,12.1522,Hotel Chik Chik Namibe
409,Atar,MR,82.45,20.5169,-13.0499,Oumou Elghoura
410,Mount Isa,AU,83.97,-20.7333,139.5,ibis Styles Mt Isa Verona
411,Sobolevo,RU,63.19,54.4299,31.8996,
412,Asaba,NG,71.71,6.2006,6.7338,Crimson Suite Hotels
413,Lata,PT,69.37,40.1629,-8.3327,Casa Maquia
414,Cayenne,GF,77.09,4.9333,-52.3333,Hôtel Le Dronmi
415,Quebo,GW,73.98,11.3333,-14.9333,
416,Udarnyy,RU,69.4,54.3409,42.8611,
417,Port Blair,IN,84.88,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
418,Guaruja,BR,59.52,-23.9931,-46.2564,Charme Hotel Guarujá
419,Oktyabrskiy,RU,73.81,54.4815,53.471,Гостиница Октябрьская
421,Lafia,NG,72.28,8.4833,8.5167,Low Cost Housing Estate
422,Mildura,AU,57.07,-34.2,142.15,Mercure Hotel Mildura
424,Quesnel,CA,68.5,52.9999,-122.5029,Ramada by Wyndham Quesnel
425,Aitape,PG,84.85,-3.1374,142.3475,
426,Lodwar,KE,81.7,3.1191,35.5973,Solmar Gracious Hotel
427,Liuli,TZ,73.67,-11.0833,34.6333,"Puulu Beach,Puulu Village"
430,Porosozero,RU,51.06,62.7191,32.727,Porosozero
431,Barras,BR,72.57,-4.2444,-42.2944,Hotel Alvorada
433,Shemonaikha,KZ,81.21,50.6328,81.9056,Perekrestok
436,Faya,SA,79.32,18.3851,42.4509,املاك خالد الشعشوع
437,Sitio Novo Do Tocantins,BR,72.54,-5.5183,-47.4611,Imperial Hotel
